OBJECTID,VALUE,long,lat,X,Y
1,1048657,-122.3161575,47.70831266,-122.3161428,47.70830684
2,841390,-122.3039573,47.61880204,-122.3039427,47.61879622
3,65000,-122.3277831,47.66989885,-122.3277685,47.66989303
4,537083,-122.3047909,47.6020379,-122.3047763,47.60203208
5,773004,-122.3143466,47.61167875,-122.314332,47.61167293
6,28107,-122.361141,47.709168,-122.3611264,47.70916218
7,58582,-122.3592046,47.70919613,-122.35919,47.70919032
8,545294,-122.3525433,47.70918478,-122.3525287,47.70917897
9,545294,-122.3525433,47.70918478,-122.3525287,47.70917897
10,72662,-122.3578309,47.70931795,-122.3578162,47.70931213
11,374643,-122.3051424,47.70929334,-122.3051277,47.70928752
12,4911793,-122.3240331,47.61100985,-122.3240185,47.61100404
13,668495,-122.2948763,47.5931191,-122.2948617,47.59311328
14,668495,-122.2948763,47.5931191,-122.2948617,47.59311328
15,502947,-122.2828685,47.70948218,-122.2828538,47.70947636
16,502947,-122.2828685,47.70948218,-122.2828538,47.70947636
17,49194,-122.2857819,47.70947615,-122.2857673,47.70947033
18,112273,-122.3578577,47.70990762,-122.357843,47.7099018
19,433462,-122.3197836,47.6289765,-122.3197836,47.6289765
20,72062,-122.3701186,47.69223708,-122.3701186,47.69223708
21,375937,-122.3196876,47.52407163,-122.3196876,47.52407163
22,0,-122.3710009,47.64391449,-122.3710009,47.64391449
23,3000,-122.3812978,47.50331565,-122.3812832,47.50330984
24,994465,-122.3144734,47.6119164,-122.3144588,47.61191058
25,67057999,-122.3407419,47.62002865,-122.3407272,47.62002284
26,54516247,-122.3419621,47.62038875,-122.3419475,47.62038294
27,54516247,-122.3419621,47.62038875,-122.3419475,47.62038294
28,19699245,-122.3757128,47.63940592,-122.3756982,47.6394001
29,19699245,-122.3757128,47.63940592,-122.3756982,47.6394001
30,19699245,-122.3757128,47.63940592,-122.3756982,47.6394001
31,51329233,-122.3466931,47.6203823,-122.3466785,47.62037648
32,68662081,-122.3446938,47.61556983,-122.3446792,47.61556402
33,370600000,-122.3427468,47.61731883,-122.3427322,47.61731301
34,24520491,-122.3888767,47.66835947,-122.388862,47.66835366
35,22626055,-122.3261937,47.64243254,-122.3261791,47.64242673
36,15038887,-122.3457069,47.6155479,-122.3456923,47.61554208
37,15038887,-122.3457069,47.6155479,-122.3456923,47.61554208
38,10068358,-122.3233997,47.65007105,-122.3233851,47.65006524
39,32588247,-122.3542598,47.69082274,-122.3542452,47.69081693
40,24613345,-122.2920946,47.66144101,-122.29208,47.66143519
41,19763230,-122.3565432,47.62230576,-122.3565286,47.62229994
42,15376984,-122.3420554,47.65715295,-122.3420408,47.65714713
43,49720565,-122.3152981,47.65766309,-122.3152835,47.65765727
44,3203426,-122.325863,47.62218901,-122.3258483,47.62218319
45,1,-122.3238875,47.68088282,-122.3238729,47.680877
46,112689266,-122.3152303,47.65902913,-122.3152157,47.65902331
47,54367547,-122.3145496,47.66205395,-122.314535,47.66204813
48,54367547,-122.3145496,47.66205395,-122.314535,47.66204813
49,0,-122.3401733,47.70337945,-122.3401586,47.70337363
50,0,-122.3351301,47.70454233,-122.3351155,47.70453651
51,0,-122.3846543,47.50940089,-122.3846397,47.50939509
52,0,-122.3650792,47.70451139,-122.3650646,47.70450558
